"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.30419480018632e-09,0.865715285748516,0.273,0.159,3.91258440055896e-06,"3","Gm10634"
1.32245437771805e-09,2.02579611216673,0.25,0.151,3.96736313315416e-06,"3","Xkr4"
1.11255319840201e-08,3.70523679954723,0.46,0.32,3.33765959520604e-05,"3","Scmh1"
1.19493685797413e-08,5.31663408596576,0.293,0.185,3.58481057392239e-05,"3","Gm36198"
1.32767659107719e-08,0.695437813739906,0.219,0.387,3.98302977323157e-05,"3","C1qc"
1.50810406232792e-08,2.7126323728385,0.232,0.274,4.52431218698377e-05,"3","Daam1"
2.59400794904458e-08,4.66963056884805,0.332,0.273,7.78202384713375e-05,"3","Mlxipl"
5.38646389116198e-08,0.533857865525664,0.304,0.25,0.00016159391673486,"3","Ctnnal1"
7.75848626863841e-08,1.36699519290528,0.403,0.36,0.000232754588059152,"3","Arhgap31"
1.24414519136139e-07,5.250150756748,0.263,0.305,0.000373243557408417,"3","C5ar1"
1.5102883486204e-07,2.70350703455619,0.456,0.32,0.000453086504586119,"3","Gm37240"
5.11520160544078e-07,7.80544676419473,0.349,0.333,0.00153456048163224,"3","A830008E24Rik"
6.24815763306522e-07,2.00384776667541,0.278,0.389,0.00187444728991957,"3","Cd81"
8.28232031807818e-07,3.16939124523009,0.26,0.188,0.00248469609542346,"3","Gm20404"
1.06079835554882e-06,1.09286589970714,0.28,0.372,0.00318239506664645,"3","Ier2"
1.399692129519e-06,7.17134947248897,0.356,0.284,0.00419907638855701,"3","Slc10a7"
2.04125303821138e-06,2.49433784820183,0.432,0.343,0.00612375911463413,"3","Trio"
4.29740453238034e-06,1.28054107066697,0.332,0.27,0.012892213597141,"3","Gm14023"
4.57867025158409e-06,1.53214670822737,0.314,0.167,0.0137360107547523,"3","A730081D07Rik"
6.32189962180897e-06,0.842898192723873,0.267,0.198,0.0189656988654269,"3","Gm43378"
7.83841831807331e-06,5.55146610144559,0.304,0.255,0.0235152549542199,"3","Depdc5"
1.2449357108745e-05,1.50883842546998,0.288,0.246,0.0373480713262351,"3","Gm19710"
1.37141477500917e-05,1.16510674408671,0.33,0.277,0.0411424432502751,"3","Cdip1"
1.56426180711605e-05,3.35172858436196,0.388,0.356,0.0469278542134815,"3","Oxr1"
1.36491659289812e-183,8.49729091494984,0.994,0.264,4.09474977869436e-180,"4","Rplp1"
5.4069163206181e-181,14.827070441683,0.994,0.267,1.62207489618543e-177,"4","Rps12"
1.51152759871275e-178,9.0660956951824,0.987,0.243,4.53458279613824e-175,"4","Tmsb4x"
1.5429689455088e-178,7.15186263274668,0.974,0.215,4.6289068365264e-175,"4","Fth1"
1.74749357786834e-178,12.7537948891876,0.99,0.282,5.24248073360501e-175,"4","Rps29"
